creator_handle,post_url,total_comments,text_percentage,emoji_percentage,mixed_percentage,unique_commenters_ratio,EQS,pass
mayah_souzaa,https://www.instagram.com/mayah_souzaa/p/DRpqKbCDvjE/,47,72.34,2.13,25.53,1.0,70.85,Fail
mayah_souzaa,https://www.instagram.com/mayah_souzaa/reel/DRsq_A2jv2Y/,38,78.95,0.0,21.05,1.0,73.69,Fail
mayah_souzaa,https://www.instagram.com/mayah_souzaa/reel/DRqWv2UDrkT/,52,75.0,1.92,23.08,1.0,71.73,Pass
mayah_souzaa,https://www.instagram.com/mayah_souzaa/reel/DRn0b25juKo/,46,67.39,0.0,32.61,1.0,70.22,Fail
mayah_souzaa,https://www.instagram.com/mayah_souzaa/reel/DRmm4fyDieF/,55,76.36,5.45,18.18,1.0,70.72,Pass
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRUPTghDHnE/,50,86.0,12.0,2.0,1.0,71.0,Pass
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DROtRmEDLWO/,38,92.11,2.63,5.26,1.0,76.58,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DQgPNa8jBmW/,28,96.43,3.57,0.0,1.0,77.5,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRsToIfDHPw/,24,91.67,0.0,8.33,1.0,77.5,Fail
devil_mind_billionaire,https://www.instagram.com/devil_mind_billionaire/p/DRsSpIXjDiF/,24,100.0,0.0,0.0,1.0,80.0,Fail
its_queen_surbhi,https://www.instagram.com/rembo.sketch33/p/DQvP4nPD_hO/,28,89.29,3.57,7.14,1.0,75.36,Fail
its_queen_surbhi,https://www.instagram.com/__surbhi__negi__/p/DO_btDLk6A2/,56,78.57,7.14,14.29,1.0,70.71,Pass
its_queen_surbhi,https://www.instagram.com/__surbhi__negi__/p/DOgXHa1EWEG/,47,85.11,6.38,8.51,1.0,72.98,Fail
its_queen_surbhi,https://www.instagram.com/__surbhi__negi__/p/DLogsByxYi_/,55,80.0,7.27,12.73,1.0,71.09,Pass
its_queen_surbhi,https://www.instagram.com/__surbhi__negi__/p/DK7HZh8ToYW/,56,80.36,7.14,12.5,1.0,71.25,Pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRplPj3DW8Z/,50,84.0,8.0,8.0,1.0,72.0,Pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRaM9UnDdVy/,55,74.55,7.27,18.18,1.0,69.46,Pass
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRXzvjSjci1/,43,83.72,6.98,9.3,1.0,72.32,Fail
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DRNZRiEjZ-w/,33,81.82,12.12,6.06,1.0,69.7,Fail
valeria_taraan,https://www.instagram.com/valeria_taraan/p/DQeqBTRjQeI/,27,88.89,0.0,11.11,1.0,76.67,Fail
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRaKqUaAM5x/,52,82.69,0.0,17.31,1.0,74.81,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRFdT8PjLnh/,53,86.79,1.89,11.32,1.0,75.28,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DRAYDApgFT1/,51,90.2,1.96,7.84,1.0,76.28,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/p/DQ2HiASgBj_/,58,82.76,0.0,17.24,1.0,74.83,Pass
joshuacoppen,https://www.instagram.com/joshuacoppen/reel/DRsN37eANmO/,57,87.72,8.77,3.51,1.0,72.81,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DHQy5kLSyMO/,55,74.55,10.91,14.55,1.0,68.0,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/CqfCTe4PyqL/,60,83.33,6.67,10.0,1.0,72.33,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/C7UEATJPsAH/,53,77.36,5.66,16.98,1.0,70.94,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DRmkEV4jzuq/,50,80.0,8.0,12.0,1.0,70.8,Pass
asthaatyagii,https://www.instagram.com/asthaatyagii/p/DRXaQiZj6Cf/,52,73.08,17.31,9.62,1.0,65.0,Pass
